 SPIRAL: LC3f1921 - inner=1123, iron=8423, outer=1921 - rep 3                 DATE: 09/12/2006     TIME: 15:19:24.0

 INPUT SUMMARY:
 1        0    1    2
  37181  1 91  3  1
        .00      1.00       .00      2.00      1.00  .01  .01
   1123.0  5615.0  1921.0 11526.0  8423.0      .0      .0      .0      .0


 SUMMARY OF TOTAL MAGNETIC INDUCTION   (R IN CYCLOTRON UNITS, B IN GAUSS)

     R       .0 DEG    2.0 DEG    4.0 DEG    6.0 DEG    8.0 DEG   10.0 DEG   12.0 DEG   14.0 DEG   16.0 DEG   18.0 DEG
   30.00       .106       .105       .105       .106       .108       .110       .113       .118       .123       .129
   31.00       .108       .107       .107       .108       .110       .113       .116       .120       .126       .133
   32.00       .110       .109       .109       .110       .112       .115       .118       .123       .128       .135
   33.00       .111       .111       .111       .112       .114       .116       .120       .125       .130       .137
   34.00       .112       .112       .112       .113       .115       .118       .121       .126       .132       .138
   35.00       .113       .112       .113       .114       .116       .119       .122       .127       .133       .139
   36.00       .113       .113       .113       .115       .116       .119       .123       .127       .133       .140

     R     80.0 DEG   82.0 DEG   84.0 DEG   86.0 DEG   88.0 DEG   90.0 DEG   92.0 DEG   94.0 DEG   96.0 DEG   98.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.471      -.474      -.478      -.481      -.484      -.488      -.491      -.494      -.498      -.501
    2.00      -.448      -.454      -.459      -.465      -.471      -.477      -.483      -.490      -.496      -.502
    3.00      -.420      -.428      -.435      -.443      -.451      -.459      -.468      -.476      -.484      -.493
    4.00      -.389      -.398      -.407      -.416      -.426      -.435      -.445      -.455      -.465      -.476
    5.00      -.356      -.366      -.376      -.386      -.396      -.406      -.417      -.428      -.439      -.451
    6.00      -.322      -.332      -.342      -.352      -.363      -.374      -.385      -.396      -.408      -.420
    7.00      -.287      -.297      -.307      -.317      -.328      -.339      -.350      -.361      -.373      -.385
    8.00      -.253      -.262      -.272      -.282      -.292      -.302      -.313      -.323      -.335      -.347
    9.00      -.219      -.228      -.237      -.245      -.255      -.264      -.274      -.284      -.295      -.306
   10.00      -.186      -.194      -.202      -.210      -.218      -.226      -.235      -.244      -.253      -.263
   11.00      -.155      -.161      -.168      -.175      -.182      -.189      -.196      -.204      -.212      -.220
   12.00      -.125      -.130      -.136      -.141      -.147      -.152      -.158      -.164      -.170      -.176
   13.00      -.096      -.101      -.105      -.109      -.113      -.117      -.121      -.125      -.129      -.133
   14.00      -.070      -.073      -.076      -.079      -.081      -.083      -.086      -.088      -.090      -.092
   15.00      -.045      -.047      -.049      -.050      -.051      -.052      -.052      -.052      -.052      -.052
   16.00      -.022      -.023      -.023      -.023      -.023      -.021      -.020      -.018      -.016      -.013
   17.00      -.001      -.001       .000       .002       .004       .006       .010       .014       .018       .023
   18.00       .018       .019       .022       .025       .028       .032       .037       .043       .050       .057
   19.00       .035       .038       .041       .045       .050       .056       .063       .070       .079       .088
   20.00       .051       .055       .059       .064       .071       .078       .086       .095       .106       .117
   21.00       .065       .070       .075       .082       .089       .097       .107       .118       .130       .143
   22.00       .078       .083       .090       .097       .105       .115       .126       .138       .152       .167
   23.00       .090       .095       .103       .111       .120       .131       .143       .156       .172       .188
   24.00       .100       .106       .114       .123       .133       .145       .158       .173       .189       .207
   25.00       .108       .115       .124       .133       .144       .157       .171       .187       .204       .224
   26.00       .116       .124       .133       .143       .154       .167       .182       .199       .218       .238
   27.00       .123       .131       .140       .151       .163       .177       .192       .209       .229       .251
   28.00       .128       .137       .146       .157       .170       .184       .200       .218       .238       .261
   29.00       .133       .142       .152       .163       .176       .191       .207       .226       .246       .269
   30.00       .137       .146       .156       .168       .181       .196       .213       .232       .253       .276
   31.00       .140       .149       .160       .171       .185       .200       .217       .236       .258       .282
   32.00       .143       .152       .162       .174       .188       .203       .220       .240       .261       .286
   33.00       .145       .154       .164       .176       .190       .205       .223       .242       .264       .288
   34.00       .146       .155       .166       .178       .192       .207       .224       .244       .265       .290
   35.00       .147       .156       .167       .179       .192       .208       .225       .244       .266       .290
   36.00       .148       .157       .167       .179       .193       .208       .225       .244       .265       .289

     R    100.0 DEG  102.0 DEG  104.0 DEG  106.0 DEG  108.0 DEG  110.0 DEG  112.0 DEG  114.0 DEG  116.0 DEG  118.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.504      -.508      -.511      -.515      -.518      -.521      -.525      -.528      -.531      -.534
    2.00      -.508      -.515      -.521      -.528      -.534      -.540      -.547      -.553      -.560      -.567
    3.00      -.502      -.511      -.520      -.529      -.538      -.547      -.557      -.566      -.576      -.585
    4.00      -.486      -.497      -.508      -.519      -.531      -.542      -.554      -.566      -.579      -.591
    5.00      -.463      -.475      -.487      -.500      -.513      -.527      -.541      -.555      -.570      -.585
    6.00      -.433      -.446      -.459      -.473      -.487      -.502      -.517      -.533      -.549      -.566
    7.00      -.398      -.411      -.425      -.439      -.454      -.469      -.485      -.502      -.519      -.537
    8.00      -.359      -.372      -.385      -.399      -.414      -.429      -.445      -.462      -.480      -.499
    9.00      -.317      -.329      -.342      -.355      -.369      -.383      -.399      -.415      -.433      -.451
   10.00      -.273      -.284      -.295      -.307      -.319      -.333      -.347      -.362      -.378      -.396
   11.00      -.228      -.237      -.246      -.256      -.267      -.279      -.291      -.304      -.319      -.334
   12.00      -.183      -.190      -.197      -.205      -.213      -.222      -.232      -.243      -.254      -.267
   13.00      -.138      -.142      -.147      -.152      -.158      -.164      -.171      -.178      -.187      -.197
   14.00      -.094      -.096      -.098      -.100      -.103      -.106      -.109      -.113      -.118      -.123
   15.00      -.051      -.050      -.050      -.049      -.048      -.047      -.047      -.047      -.047      -.048
   16.00      -.010      -.007      -.003       .001       .005       .010       .014       .019       .023       .027
   17.00       .029       .035       .041       .049       .057       .065       .074       .083       .092       .102
   18.00       .065       .074       .084       .094       .106       .118       .131       .145       .160       .175
   19.00       .099       .110       .123       .137       .152       .168       .185       .204       .224       .245
   20.00       .130       .144       .159       .176       .195       .215       .237       .260       .285       .313
   21.00       .158       .175       .193       .213       .235       .258       .284       .312       .343       .376
   22.00       .184       .203       .223       .246       .271       .298       .328       .361       .396       .434
   23.00       .207       .228       .251       .276       .304       .334       .368       .404       .445       .488
   24.00       .228       .250       .275       .303       .333       .367       .403       .444       .488       .537
   25.00       .246       .270       .297       .326       .359       .395       .435       .479       .527       .581
   26.00       .261       .287       .315       .347       .382       .420       .463       .510       .562       .619
   27.00       .275       .302       .331       .364       .401       .441       .486       .536       .591       .652
   28.00       .286       .314       .345       .379       .417       .459       .506       .558       .616       .680
   29.00       .295       .324       .356       .391       .430       .474       .522       .576       .636       .702
   30.00       .303       .332       .364       .401       .441       .485       .535       .590       .652       .720
   31.00       .308       .338       .371       .408       .449       .494       .545       .601       .664       .734
   32.00       .312       .342       .376       .413       .454       .500       .551       .609       .672       .743
   33.00       .315       .345       .379       .416       .458       .504       .555       .613       .677       .749
   34.00       .317       .347       .380       .418       .459       .505       .557       .615       .679       .751
   35.00       .317       .347       .380       .417       .459       .505       .556       .614       .678       .749
   36.00       .316       .346       .379       .416       .457       .503       .554       .611       .674       .745

     R    120.0 DEG  122.0 DEG  124.0 DEG  126.0 DEG  128.0 DEG  130.0 DEG  132.0 DEG  134.0 DEG  136.0 DEG  138.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.538      -.541      -.544      -.547      -.550      -.553      -.556      -.559      -.562      -.564
    2.00      -.573      -.580      -.586      -.592      -.599      -.605      -.612      -.618      -.624      -.630
    3.00      -.595      -.605      -.615      -.625      -.635      -.645      -.655      -.664      -.674      -.684
    4.00      -.604      -.617      -.630      -.643      -.657      -.670      -.684      -.698      -.712      -.726
    5.00      -.600      -.616      -.632      -.648      -.665      -.682      -.700      -.718      -.736      -.754
    6.00      -.584      -.602      -.620      -.640      -.659      -.680      -.701      -.723      -.745      -.768
    7.00      -.556      -.576      -.597      -.618      -.640      -.663      -.688      -.713      -.739      -.766
    8.00      -.518      -.539      -.561      -.583      -.608      -.633      -.659      -.687      -.717      -.747
    9.00      -.471      -.491      -.513      -.537      -.562      -.589      -.617      -.647      -.679      -.712
   10.00      -.414      -.435      -.456      -.479      -.504      -.531      -.560      -.591      -.624      -.660
   11.00      -.351      -.369      -.390      -.411      -.435      -.461      -.490      -.521      -.554      -.591
   12.00      -.282      -.297      -.315      -.334      -.356      -.380      -.406      -.436      -.469      -.505
   13.00      -.207      -.220      -.234      -.250      -.268      -.288      -.311      -.338      -.368      -.402
   14.00      -.130      -.138      -.147      -.158      -.172      -.188      -.206      -.228      -.254      -.283
   15.00      -.050      -.053      -.057      -.062      -.070      -.079      -.092      -.107      -.127      -.150
   16.00       .031       .034       .036       .037       .037       .035       .030       .022       .011      -.004
   17.00       .112       .121       .130       .139       .146       .153       .157       .159       .158       .154
   18.00       .191       .207       .224       .241       .257       .273       .288       .301       .312       .320
   19.00       .268       .291       .316       .341       .367       .394       .420       .446       .471       .494
   20.00       .341       .372       .405       .439       .475       .513       .552       .592       .631       .671
   21.00       .411       .449       .490       .534       .580       .629       .681       .736       .792       .850
   22.00       .476       .521       .570       .623       .680       .741       .806       .876       .949      1.027
   23.00       .536       .588       .645       .707       .774       .847       .925      1.010      1.101      1.199
   24.00       .591       .649       .714       .784       .861       .945      1.037      1.137      1.246      1.364
   25.00       .639       .704       .775       .854       .940      1.035      1.139      1.254      1.381      1.519
   26.00       .682       .752       .830       .916      1.011      1.116      1.232      1.361      1.504      1.662
   27.00       .719       .794       .878       .970      1.073      1.187      1.314      1.456      1.614      1.790
   28.00       .751       .830       .918      1.016      1.126      1.248      1.385      1.538      1.710      1.903
   29.00       .777       .859       .951      1.054      1.170      1.299      1.444      1.608      1.792      2.000
   30.00       .797       .882       .978      1.085      1.205      1.340      1.492      1.664      1.858      2.079
   31.00       .812       .900       .998      1.108      1.232      1.371      1.529      1.707      1.910      2.141
   32.00       .823       .912      1.012      1.124      1.250      1.393      1.555      1.738      1.947      2.185
   33.00       .829       .919      1.020      1.134      1.262      1.406      1.571      1.757      1.970      2.214
   34.00       .831       .921      1.023      1.137      1.266      1.412      1.577      1.765      1.980      2.227
   35.00       .830       .920      1.021      1.135      1.264      1.409      1.574      1.763      1.978      2.225
   36.00       .825       .914      1.015      1.128      1.255      1.400      1.564      1.751      1.965      2.210

     R    140.0 DEG  142.0 DEG  144.0 DEG  146.0 DEG  148.0 DEG  150.0 DEG  152.0 DEG  154.0 DEG  156.0 DEG  158.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.567      -.569      -.572      -.574      -.577      -.579      -.581      -.583      -.585      -.587
    2.00      -.636      -.642      -.647      -.653      -.658      -.664      -.669      -.674      -.678      -.683
    3.00      -.694      -.704      -.714      -.723      -.732      -.742      -.751      -.759      -.768      -.776
    4.00      -.740      -.754      -.769      -.783      -.797      -.811      -.824      -.838      -.851      -.864
    5.00      -.773      -.792      -.811      -.830      -.850      -.869      -.888      -.908      -.927      -.946
    6.00      -.791      -.815      -.839      -.864      -.889      -.915      -.941      -.967      -.993     -1.019
    7.00      -.794      -.822      -.852      -.883      -.914      -.946      -.979     -1.012     -1.046     -1.080
    8.00      -.779      -.813      -.848      -.884      -.922      -.961     -1.001     -1.042     -1.084     -1.127
    9.00      -.748      -.786      -.825      -.867      -.911      -.957     -1.004     -1.054     -1.105     -1.158
   10.00      -.699      -.740      -.783      -.830      -.879      -.932      -.987     -1.045     -1.106     -1.170
   11.00      -.631      -.674      -.721      -.771      -.825      -.884      -.946     -1.013     -1.083     -1.158
   12.00      -.545      -.589      -.637      -.690      -.748      -.811      -.880      -.954     -1.034     -1.119
   13.00      -.440      -.483      -.531      -.585      -.645      -.712      -.785      -.866      -.954     -1.050
   14.00      -.318      -.358      -.404      -.456      -.516      -.584      -.660      -.745      -.841      -.946
