 SPIRAL: LC3f1921 - inner=1123, iron=8423, outer=1921 - rep 3                 DATE: 09/12/2006     TIME: 15:19:24.0

 INPUT SUMMARY:
 1        0    1    2
  37181  1 91  3  1
        .00      1.00       .00      2.00      1.00  .01  .01
   1123.0  5615.0  1921.0 11526.0  8423.0      .0      .0      .0      .0


 SUMMARY OF TOTAL MAGNETIC INDUCTION   (R IN CYCLOTRON UNITS, B IN GAUSS)

     R       .0 DEG    2.0 DEG    4.0 DEG    6.0 DEG    8.0 DEG   10.0 DEG   12.0 DEG   14.0 DEG   16.0 DEG   18.0 DEG
   24.00      2.534      2.377      2.231      2.096      1.970      1.853      1.744      1.642      1.547      1.458
   25.00      2.605      2.439      2.286      2.144      2.012      1.890      1.777      1.671      1.573      1.481
   26.00      2.665      2.491      2.331      2.184      2.047      1.920      1.803      1.694      1.593      1.499
   27.00      2.714      2.534      2.368      2.215      2.074      1.944      1.824      1.712      1.609      1.512
   28.00      2.753      2.567      2.396      2.239      2.095      1.962      1.839      1.725      1.619      1.522
   29.00      2.782      2.591      2.416      2.256      2.109      1.973      1.848      1.733      1.626      1.527
   30.00      2.801      2.606      2.429      2.266      2.117      1.979      1.853      1.736      1.628      1.529
   31.00      2.811      2.614      2.434      2.270      2.119      1.981      1.853      1.736      1.627      1.527
   32.00      2.813      2.615      2.433      2.268      2.116      1.977      1.849      1.732      1.623      1.522
   33.00      2.808      2.608      2.427      2.261      2.109      1.970      1.842      1.724      1.615      1.515
   34.00      2.795      2.596      2.414      2.249      2.097      1.958      1.831      1.714      1.605      1.505
   35.00      2.777      2.578      2.397      2.233      2.082      1.944      1.817      1.700      1.593      1.494
   36.00      2.752      2.555      2.376      2.212      2.063      1.926      1.800      1.685      1.578      1.480

     R    320.0 DEG  322.0 DEG  324.0 DEG  326.0 DEG  328.0 DEG  330.0 DEG  332.0 DEG  334.0 DEG  336.0 DEG  338.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.402      -.400      -.399      -.397      -.396      -.394      -.393      -.392      -.391      -.390
    2.00      -.309      -.306      -.304      -.302      -.300      -.298      -.296      -.295      -.294      -.293
    3.00      -.211      -.208      -.205      -.203      -.202      -.200      -.199      -.198      -.198      -.197
    4.00      -.109      -.107      -.105      -.104      -.103      -.102      -.103      -.103      -.104      -.105
    5.00      -.004      -.003      -.003      -.004      -.005      -.006      -.008      -.010      -.013      -.015
    6.00       .102       .100       .098       .095       .092       .088       .084       .080       .075       .070
    7.00       .208       .203       .198       .193       .186       .180       .173       .166       .158       .151
    8.00       .313       .305       .296       .287       .278       .268       .258       .248       .237       .227
    9.00       .416       .404       .391       .378       .365       .352       .339       .325       .312       .298
   10.00       .516       .499       .483       .466       .449       .432       .415       .398       .381       .364
   11.00       .612       .591       .570       .548       .527       .506       .486       .465       .445       .426
   12.00       .705       .678       .652       .626       .601       .576       .552       .528       .505       .482
   13.00       .792       .760       .729       .699       .670       .641       .613       .585       .559       .533
   14.00       .874       .837       .801       .766       .733       .700       .668       .638       .608       .579
   15.00       .950       .908       .868       .829       .791       .754       .719       .685       .653       .621
   16.00      1.021       .974       .929       .885       .843       .803       .765       .728       .692       .658
   17.00      1.086      1.034       .984       .936       .891       .847       .806       .766       .728       .692
   18.00      1.144      1.087      1.034       .982       .933       .886       .842       .800       .759       .721
   19.00      1.197      1.136      1.078      1.023       .971       .921       .874       .829       .786       .746
   20.00      1.243      1.178      1.117      1.059      1.003       .951       .901       .854       .810       .768
   21.00      1.284      1.216      1.151      1.089      1.032       .977       .925       .876       .830       .786
   22.00      1.320      1.248      1.180      1.116      1.056       .999       .945       .895       .847       .801
   23.00      1.350      1.275      1.204      1.138      1.076      1.017       .962       .910       .861       .814
   24.00      1.375      1.297      1.225      1.156      1.092      1.032       .975       .922       .871       .824
   25.00      1.395      1.315      1.241      1.171      1.105      1.043       .985       .931       .880       .832
   26.00      1.411      1.329      1.253      1.181      1.115      1.052       .993       .938       .886       .837
   27.00      1.423      1.340      1.262      1.189      1.121      1.058       .998       .942       .890       .841
   28.00      1.431      1.346      1.267      1.194      1.125      1.061      1.001       .945       .892       .842
   29.00      1.435      1.350      1.270      1.196      1.127      1.062      1.002       .945       .892       .843
   30.00      1.436      1.350      1.270      1.196      1.126      1.061      1.001       .944       .891       .841
   31.00      1.434      1.348      1.268      1.193      1.123      1.059       .998       .941       .888       .838
   32.00      1.429      1.343      1.263      1.188      1.119      1.054       .994       .937       .884       .835
   33.00      1.422      1.336      1.256      1.182      1.113      1.048       .988       .932       .879       .830
   34.00      1.413      1.327      1.248      1.174      1.105      1.041       .981       .925       .873       .824
   35.00      1.402      1.317      1.238      1.164      1.096      1.032       .973       .918       .866       .817
   36.00      1.389      1.304      1.226      1.154      1.086      1.023       .964       .909       .858       .810

     R    340.0 DEG  342.0 DEG  344.0 DEG  346.0 DEG  348.0 DEG  350.0 DEG  352.0 DEG  354.0 DEG  356.0 DEG  358.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.390      -.389      -.388      -.388      -.388      -.388      -.387      -.388      -.388      -.388
    2.00      -.292      -.292      -.291      -.291      -.292      -.292      -.292      -.293      -.294      -.295
    3.00      -.198      -.198      -.198      -.199      -.200      -.202      -.203      -.205      -.207      -.209
    4.00      -.106      -.108      -.110      -.112      -.115      -.117      -.121      -.124      -.127      -.131
    5.00      -.019      -.022      -.026      -.030      -.034      -.039      -.044      -.049      -.054      -.059
    6.00       .064       .059       .053       .047       .040       .034       .027       .020       .013       .006
    7.00       .143       .135       .126       .118       .109       .101       .092       .083       .074       .065
    8.00       .216       .206       .195       .184       .173       .162       .151       .140       .130       .119
    9.00       .285       .271       .258       .244       .231       .218       .205       .192       .180       .167
   10.00       .348       .332       .316       .300       .284       .269       .254       .239       .225       .210
   11.00       .406       .387       .369       .350       .333       .315       .298       .281       .265       .249
   12.00       .460       .438       .417       .396       .376       .357       .338       .319       .301       .284
   13.00       .508       .484       .460       .437       .415       .394       .373       .353       .333       .314
   14.00       .552       .525       .499       .474       .450       .427       .404       .382       .362       .341
   15.00       .591       .562       .534       .507       .481       .456       .432       .409       .387       .365
   16.00       .626       .595       .565       .536       .508       .482       .456       .432       .408       .386
   17.00       .657       .623       .592       .561       .532       .504       .477       .452       .427       .404
   18.00       .684       .649       .615       .583       .553       .524       .496       .469       .444       .419
   19.00       .707       .671       .636       .602       .571       .540       .512       .484       .458       .433
   20.00       .727       .689       .653       .619       .586       .555       .525       .497       .470       .444
   21.00       .744       .705       .668       .632       .598       .566       .536       .507       .480       .453
   22.00       .759       .718       .680       .643       .609       .576       .545       .516       .488       .461
   23.00       .770       .729       .690       .653       .617       .584       .553       .523       .494       .467
   24.00       .779       .737       .697       .660       .624       .590       .558       .528       .499       .472
   25.00       .786       .744       .703       .665       .629       .595       .563       .532       .503       .476
   26.00       .791       .748       .707       .669       .632       .598       .566       .535       .506       .478
   27.00       .794       .751       .710       .671       .634       .600       .567       .536       .507       .480
   28.00       .796       .752       .711       .672       .635       .601       .568       .537       .508       .480
   29.00       .796       .752       .711       .672       .635       .600       .568       .537       .508       .480
   30.00       .794       .750       .709       .670       .634       .599       .566       .536       .507       .479
   31.00       .792       .748       .707       .668       .631       .597       .565       .534       .505       .478
   32.00       .788       .744       .703       .665       .628       .594       .562       .532       .503       .476
   33.00       .783       .740       .699       .661       .625       .591       .559       .529       .500       .473
   34.00       .778       .735       .694       .656       .621       .587       .555       .525       .497       .470
   35.00       .772       .729       .689       .651       .616       .582       .551       .521       .493       .467
   36.00       .765       .723       .683       .646       .610       .577       .546       .517       .489       .463

     R    360.0 DEG
     .00      -.489
    1.00      -.388
    2.00      -.296
    3.00      -.212
    4.00      -.135
    5.00      -.065
    6.00      -.001
    7.00       .056
    8.00       .108
    9.00       .155
   10.00       .197
   11.00       .234
   12.00       .267
   13.00       .296
   14.00       .322
   15.00       .345
   16.00       .364
   17.00       .381
   18.00       .396
   19.00       .409
   20.00       .420
   21.00       .428
   22.00       .436
   23.00       .442
   24.00       .446
   25.00       .450
   26.00       .452
   27.00       .454
   28.00       .454
   29.00       .454
   30.00       .453
   31.00       .452
   32.00       .450
   33.00       .448
   34.00       .445
   35.00       .442
   36.00       .438

 ***** END SUMMARY *****
